Date,SPY,SMH,VEA,IPSA,ORO,COMM,RF
2012-02-29,0.04340517176913994,0.029236327466166223,0.04884074995003118,0.09128880206596346,-0.029649780549572347,0.05353945986469877,0.00040522476418636266
2012-03-31,0.03216431688004917,0.03768122679030461,0.003272139950169173,0.0058910691577587215,-0.013208340481005276,-0.0177352992865899,-0.005077601106034835
2012-04-30,-0.0066762348951487915,-0.03379911852228157,-0.023802344236377837,-0.013909255439279344,-0.0014803247076433657,-0.013541619910445779,0.011035563041052354
2012-05-31,-0.06005530670335135,-0.10176348886544118,-0.11167976785466438,-0.11581299348548302,-0.06338034010471139,-0.11158054995337419,0.00931568397325866
2012-06-30,0.0405808241639416,0.0373351433538569,0.06980652184591163,0.047262423789985464,0.02354575543588089,0.020206029836338013,0.0006641984664954581
2012-07-31,0.01182993120462661,0.0003103337659515759,0.002534426315180527,-0.0040657919053779246,0.008376847936764742,0.0582524127239763,0.012317627865140013
2012-08-31,0.025052432424452764,0.02264259916731226,0.03285940962494127,-0.018615328245294882,0.04939609851235338,0.05651390496180109,0.0016102708675944655
2012-09-30,0.025350952524638704,-0.040339622772621264,0.026302474810288468,0.03361080311628073,0.046705627280061,-0.0038208642429906625,0.001811922486107287
2012-10-31,-0.01819831096567237,-0.017383155874870715,0.01064478026057536,-0.00917563058911064,-0.029437416816341377,-0.03905159414088033,-0.0010122720867625778
2012-11-30,0.005659863349564809,0.030556450808288504,0.027083902097739365,-0.02420810707154397,-0.004675410721908135,0.019593654150151796,0.0005894237499912691
2012-12-31,0.008934383539378699,0.030953115210603288,0.042441266162184466,0.05442774343454748,-0.02426979045607558,-0.011387908413087233,-0.008765087147830086
2013-01-31,0.051189820699492294,0.06093407952274199,0.038319946574696395,0.05850731582869728,-0.005061148639644464,0.02483805865126132,-0.006902263235025297
2013-02-28,0.012759022958476196,0.023906711556338722,-0.011481628854535963,-0.012697953778529336,-0.05086846838387371,-0.04706718413415267,0.0053555916168530615
